Coin|Time Stamp|ETH Price|Coin Price|High Price|Bid Price|Low Price|Quote Volume|Volume|Prev Close Price|Weighted Avg Price|Last Price|Last Qty|Open Price|Count|Symbol|Price Change|Ask Price|Ask Qty|Bid Qty|Price Change %
ETH|2018-01-14 02:04:38.695499|1382.50000000|1911306.25|1427.01000000|1380.53000000|1252.00000000|101372948.07481300|75119.60894000|1280.25000000|1349.48716461|1382.50000000|12.12890000|1280.25000000|115078|ETHUSDT|102.25000000|1382.50000000|0.00010000|4.23440000|7.987
BNB|2018-01-14 02:04:38.695499|1382.50000000|21.71|0.01751000|0.01570000|0.01501100|19360.32502007|1183279.01000000|0.01689800|0.01636159|0.01570000|2.00000000|0.01689800|65204|BNBETH|-0.00119800|0.01574900|1.03000000|10.58000000|-7.090
REQ|2018-01-14 02:04:38.695499|1382.50000000|0.79|0.00061031|0.00056656|0.00048900|4589.69016266|8379297.00000000|0.00060295|0.00054774|0.00056898|1121.00000000|0.00060298|12786|REQETH|-0.00003400|0.00056898|17293.00000000|1180.00000000|-5.639
XLM|2018-01-14 02:04:38.695499|1382.50000000|0.64|0.00054120|0.00046001|0.00044750|15921.87985467|32545235.00000000|0.00053300|0.00048922|0.00046000|27.00000000|0.00053301|45087|XLMETH|-0.00007301|0.00046002|1337.00000000|188.00000000|-13.698
XRP|2018-01-14 02:04:38.695499|1382.50000000|1.95|0.00163985|0.00141201|0.00137601|38036.91182156|25611158.00000000|0.00163394|0.00148517|0.00141181|222.00000000|0.00163393|86111|XRPETH|-0.00022212|0.00141532|4043.00000000|650.00000000|-13.594
TRX|2018-01-14 02:04:38.695499|1382.50000000|0.1|0.00009194|0.00007371|0.00007050|142106.62893609|1783409680.00000000|0.00008986|0.00007968|0.00007371|89.00000000|0.00008990|125598|TRXETH|-0.00001619|0.00007375|598453.00000000|236.00000000|-18.009
ETH|2018-01-14 03:01:42.092172|1368.00000000|1871424.0|1427.01000000|1366.92000000|1252.00000000|101144109.31934650|74782.80176000|1287.00000000|1352.50494685|1368.00000000|0.06400000|1286.97000000|114325|ETHUSDT|81.03000000|1368.00000000|0.06597000|0.15000000|6.296
BNB|2018-01-14 03:01:42.092172|1368.00000000|21.69|0.01751000|0.01583200|0.01501100|18857.55936869|1155957.02000000|0.01716000|0.01631337|0.01585800|10.00000000|0.01714900|64163|BNBETH|-0.00129100|0.01584800|16.00000000|3.14000000|-7.528
REQ|2018-01-14 03:01:42.092172|1368.00000000|0.74|0.00060700|0.00054313|0.00048900|4635.29634615|8482038.00000000|0.00060350|0.00054648|0.00054252|113.00000000|0.00060328|13128|REQETH|-0.00006076|0.00055020|392.00000000|515.00000000|-10.072
XLM|2018-01-14 03:01:42.092172|1368.00000000|0.64|0.00054120|0.00046306|0.00044750|15520.44109848|31915073.00000000|0.00053375|0.00048630|0.00046460|9.00000000|0.00053399|43901|XLMETH|-0.00006939|0.00046456|534.00000000|54.00000000|-12.995
XRP|2018-01-14 03:01:42.092172|1368.00000000|1.93|0.00162400|0.00141433|0.00137601|36736.14554914|24900848.00000000|0.00161514|0.00147530|0.00141437|4.00000000|0.00161514|83677|XRPETH|-0.00020077|0.00141437|96.00000000|10.00000000|-12.431
TRX|2018-01-14 03:01:42.092172|1368.00000000|0.1|0.00009140|0.00007160|0.00007050|138576.09271300|1756649018.00000000|0.00008941|0.00007889|0.00007166|378643.00000000|0.00008961|122389|TRXETH|-0.00001795|0.00007179|2751.00000000|3706.00000000|-20.031
ETH|2018-01-14 03:44:03.628073|1370.99000000|1879613.58|1427.01000000|1371.02000000|1274.60000000|98574322.34438330|72670.71990000|1274.50000000|1356.45171095|1370.99000000|2.88221000|1274.60000000|112238|ETHUSDT|96.39000000|1373.20000000|3.00000000|1.35100000|7.562
BNB|2018-01-14 03:44:03.628073|1370.99000000|21.46|0.01750000|0.01561500|0.01501100|18613.30901012|1143521.47000000|0.01732600|0.01627718|0.01565400|2.54000000|0.01731900|63776|BNBETH|-0.00166500|0.01565400|0.01000000|3.90000000|-9.614
REQ|2018-01-14 03:44:03.628073|1370.99000000|0.74|0.00060700|0.00054210|0.00048900|4685.92815817|8592688.00000000|0.00060194|0.00054534|0.00054210|428.00000000|0.00060198|13257|REQETH|-0.00005988|0.00054240|12117.00000000|921.00000000|-9.947
XLM|2018-01-14 03:44:03.628073|1370.99000000|0.64|0.00054120|0.00046533|0.00044750|15196.91756937|31385619.00000000|0.00053009|0.00048420|0.00046599|53.00000000|0.00053079|43135|XLMETH|-0.00006480|0.00046599|1880.00000000|16803.00000000|-12.208
XRP|2018-01-14 03:44:03.628073|1370.99000000|1.93|0.00162400|0.00140137|0.00137601|35954.01998986|24475460.00000000|0.00161326|0.00146898|0.00140749|1100.00000000|0.00161344|82668|XRPETH|-0.00020595|0.00140866|40.00000000|285.00000000|-12.765
TRX|2018-01-14 03:44:03.628073|1370.99000000|0.1|0.00009134|0.00007320|0.00006973|138997.31615855|1776308057.00000000|0.00009026|0.00007825|0.00007374|878.00000000|0.00009011|124529|TRXETH|-0.00001637|0.00007373|2634.00000000|1400.00000000|-18.167
